type_produit;Nom_produit;tarif
Livre;Nouveauté La galerie des Carrosses;9,00 €
Livre;Les jardins de Versailles;15,00 €
Livre;Le Petit Trianon;15,00 €
Livre;Visiter Versailles. Guide officiel;15,00 €
Livre;Marie-Antoinette à Versailles;12,00 €
Livre;Napoléon à Versailles;18,00 €
Livre;Le Versailles de Marie-Antoinette. Cécile Berly;12,00 €
Livre;Guide des jardins remarquables en Île de France;9,00 €
Livre;Château de Versailles. Guide imagier;13,50 €
Livre;Versailles, le Château, les Jardins, les Trianons. Beatrix Saule;9,90 €
Livre;Versailles château, domaine, collections. Avec plus de trois cents pages, trois cents illustrations, de nombreux plans et des index, ce livre est le compagnon indispensable pour comprendre le château de Versailles.;20,00 €
Livre;Nouveauté Versailles, The Great and Hidden Splendours of the Sun King's Palace;69,00 €
Livre;Nouveauté Versailles from the Sky;54,00 €
Livre;Nouveauté La Grande Histoire du château de Versailles;Non précisé
Livre;Nouveauté Louis XVI;5,00 €
Livre;Nouveauté Versailles, la demeure du Roi-Soleil;5,00 €
Livre;Journal 1891-1898;Non précisé
Livre;Bande-dessinée;19,90 €
Livre/Jeunesse;Je suis en CP au château de Versailles;5,80 €
Livre/Jeunesse;Le fabuleux voyage d'un flamant rose à lunettes;14,00 €
Livre/Jeunesse;La souris, le cheval et le Dauphin;14,00 €
Livre/Jeunesse;Chasseurs de mystères - Le fantôme de Versailles;6,95 €
Livre;Guillaume Bresson - Monographie;60,00 €
Jeux pour enfant;Ma Fabrique à Histoires. Lunii;64,90 €
Livre/Jeunesse;Livre audio Ma Fabrique à Histoires. L'Agence Mouche à Versailles;12,90 €
Objet;Le château de Versailles vu du ciel;Non précisé
Objet;La tisane du château de Versailles. Mélange délicat de fleurs de tilleuls et de pétales de rose, la tisane du château de Versailles vous plonge dans le passé botanique initié par Louis XIV.;Non précisé
Objet;Le miel du château de Versailles. Découvrez la récolte 2023 et 2024 des miels du Domaine de Trianon et du Domaine National de Marly ! Doré ou ambré, floral ou boisé, ces palettes gustatives uniques incarnent la richesse végétale des domaines liés à l'histoire du château de Versailles.;Non précisé
Objet;Buste Louis XIV;390,00 €
Objet;Coupelle blanche en porcelaine Château de Versailles;7,95 €
Objet;Sécateur manche bois de rose;115,00 €
Objet;Couteau serpette;115,00 €
Objet;Arrosoir en inox;140,00 €
Objet;Cache-pot en inox. 2 tailles disponibles;À partir de 75,00 €
Objet;Jardinière en inox. 2 tailles disponibles;À partir de 80,00 €
Objet;Presse-papier en verre Emblème;19,95 €
Objet;Mot Liberté Doré;29,95 €
Objet;Sac seau en jute;Non précisé
Objet;Coffret 2 Gobelets "A la Cour de Versailles" - Le Roi-La Reine;25,95 €
Objet;Bouquet parfumé "Boudoir de la Reine" Maison Berger;85,00 €
Objet;Bougie "Temple de l'Amour" - 45 hrs. Maison Berger;50,00 €
Bijoux;Boucles d'oreilles fleur de lys;160,00 €
Bijoux;Boucles d'oreilles créoles dorées;75,00 €
Bijoux;Collier Violette;Non précisé
Bijoux;Bracelet Violette;Non précisé
Bijoux;Bague ajustable Violette;Non précisé
Bijoux;Boucles d'oreilles Violette;Non précisé
Bijoux;Collier fleurs;Non précisé
Bijoux;Bague ajustable fleurs;130,00 €
Bijoux;Collier médaille soleil;220,00 €
Bijoux;Médaille Roi Soleil - Arthus Bertrand. 2 coloris disponibles;À partir de 155,00 €
Bijoux;Médaille Marie-Antoinette - Arthus Bertrand. 2 coloris disponibles;À partir de 155,00 €
Bijoux;Médaille Cheval en Majesté - Arthus Bertrand. 2 coloris disponibles;À partir de 155,00 €
Objet;Montre Swatch – Characters of Versailles;Non précisé
