datetime,type,temperature,feels_like,humidity,weather
2025-09-29 15:59:27,current,19.07,18.44,54,Ciel dégagé
2025-09-29 18:00:00,forecast,18.39,17.64,52,Peu nuageux
2025-09-29 21:00:00,forecast,15.76,14.96,60,Nuageux
2025-09-30 00:00:00,forecast,12.35,11.39,67,Couvert
2025-09-30 03:00:00,forecast,10.88,9.77,67,Couvert
2025-09-30 06:00:00,forecast,9.54,8.58,69,Couvert
2025-09-30 09:00:00,forecast,15.11,14.16,57,Nuageux
2025-09-30 12:00:00,forecast,18.58,17.49,38,Nuageux
2025-09-30 15:00:00,forecast,19.67,18.58,34,Peu nuageux
2025-09-30 18:00:00,forecast,17.39,16.26,41,Peu nuageux
2025-09-30 21:00:00,forecast,15.42,14.3,49,Ciel dégagé
2025-10-01 00:00:00,forecast,13.64,12.52,56,Ciel dégagé
2025-10-01 03:00:00,forecast,12.32,11.33,66,Peu nuageux
2025-10-01 06:00:00,forecast,11.44,10.57,74,Peu nuageux
2025-10-01 09:00:00,forecast,14.66,13.8,62,Peu nuageux
2025-10-01 12:00:00,forecast,18.42,17.47,44,Partiellement nuageux
2025-10-01 15:00:00,forecast,19.59,18.6,38,Nuageux
2025-10-01 18:00:00,forecast,17.39,16.33,44,Nuageux
2025-10-01 21:00:00,forecast,14.68,13.46,48,Peu nuageux
2025-10-02 00:00:00,forecast,13.14,11.84,51,Peu nuageux
2025-10-02 03:00:00,forecast,11.55,10.09,51,Ciel dégagé
2025-10-02 06:00:00,forecast,10.21,8.77,57,Peu nuageux
2025-10-02 09:00:00,forecast,12.33,10.77,44,Nuageux
2025-10-02 12:00:00,forecast,16.1,14.55,30,Couvert
2025-10-02 15:00:00,forecast,17.69,16.19,26,Partiellement nuageux
2025-10-02 18:00:00,forecast,15.66,14.25,37,Nuageux
2025-10-02 21:00:00,forecast,14.38,13.13,48,Couvert
2025-10-03 00:00:00,forecast,13.43,12.19,52,Couvert
2025-10-03 03:00:00,forecast,13.18,11.81,48,Couvert
2025-10-03 06:00:00,forecast,12.67,11.3,50,Couvert
2025-10-03 09:00:00,forecast,14.49,13.2,46,Couvert
2025-10-03 12:00:00,forecast,15.04,13.85,48,Couvert
2025-10-03 15:00:00,forecast,14.87,13.64,47,Couvert
2025-10-03 18:00:00,forecast,11.21,10.58,84,Légère pluie
2025-10-03 21:00:00,forecast,12.54,12.23,91,Pluie modérée
2025-10-04 00:00:00,forecast,16.5,16.56,90,Légère pluie
2025-10-04 03:00:00,forecast,11.55,10.61,71,Pluie modérée
2025-10-04 06:00:00,forecast,10.8,9.69,67,Nuageux
2025-10-04 09:00:00,forecast,12.77,11.59,57,Nuageux
2025-10-04 12:00:00,forecast,14.22,13.03,51,Légère pluie
2025-10-04 15:00:00,forecast,14.25,13.01,49,Légère pluie
